datetime,wind_speed,wind_dir,stability
2024-01-18 19:30:00,0.155815,105.291,A
2024-01-18 20:00:00,0.142451,230.764,A
2024-01-18 20:30:00,0.324222,69.2625,A
2024-01-18 21:00:00,0.3297,149.64,A
2024-01-18 21:30:00,0.0727193,152.964,A
2024-01-18 22:00:00,0.298659,87.7237,A
2024-01-18 22:30:00,0.133637,70.5618,A
2024-01-18 23:00:00,0.407544,228.651,A
2024-01-18 23:30:00,0.511391,204.454,A
2024-01-19 00:00:00,0.349245,164.808,A
2024-01-19 00:30:00,0.20352,64.5998,A
2024-01-19 01:00:00,0.569365,79.6397,A
2024-01-19 01:30:00,0.519729,20.8696,A
2024-01-19 02:00:00,0.255843,101.757,A
2024-01-19 02:30:00,0.610777,160.271,B
2024-01-19 03:00:00,0.526714,236.428,A
2024-01-19 03:30:00,0.260401,116.193,F
2024-01-19 04:00:00,0.185716,154.234,F
2024-01-19 04:30:00,0.184805,29.8522,F
2024-01-19 05:00:00,0.164969,146.271,A
2024-01-19 05:30:00,0.296312,70.283,F
2024-01-19 06:00:00,0.375976,73.6986,F
2024-01-19 06:30:00,0.419167,73.9448,A
2024-01-19 07:00:00,0.706958,54.2689,A
2024-01-19 07:30:00,0.26837,100.601,F
2024-01-19 08:00:00,0.477498,43.9011,A
2024-01-19 08:30:00,0.405645,66.6815,A
2024-01-19 09:00:00,0.329883,112.911,A
2024-01-19 09:30:00,0.0351787,81.8312,A
2024-01-19 10:00:00,0.150984,172.457,B
2024-01-19 10:30:00,0.194594,83.2895,A
2024-01-19 11:00:00,0.566806,55.8317,F
2024-01-19 11:30:00,0.404338,62.6346,A
2024-01-19 12:00:00,0.495909,71.6555,A
2024-01-19 12:30:00,0.519695,95.2113,A
2024-01-19 13:00:00,0.123468,177.033,F
2024-01-19 13:30:00,0.381081,160.79,A
2024-01-19 14:00:00,0.186637,171.57,F
2024-01-19 14:30:00,0.46207,107.752,A
2024-01-19 15:00:00,0.357743,123.936,A
2024-01-19 15:30:00,0.358758,82.2775,A
2024-01-19 16:00:00,0.354162,94.0505,F
2024-01-19 16:30:00,0.0739256,108.456,A
